EURUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
12/30/2022 00:00,1.06599,1.06634,1.06597,1.06608,0.9,0.01,
12/29/2022 00:00,1.06067,1.06901,1.06067,1.06615,54.8,0.51,
12/28/2022 00:00,1.06387,1.06747,1.06066,1.06125,-26.2,-0.25,
12/27/2022 00:00,1.06351,1.06693,1.06113,1.06386,3.5,0.03,
12/23/2022 00:00,1.05917,1.0633,1.05866,1.06205,28.8,0.27,
12/22/2022 00:00,1.06031,1.06592,1.05729,1.05978,-5.3,-0.05,
12/21/2022 00:00,1.06184,1.06457,1.05904,1.06038,-14.6,-0.14,
12/20/2022 00:00,1.06038,1.06588,1.05791,1.06244,20.6,0.19,
12/19/2022 00:00,1.05839,1.06576,1.05757,1.06065,22.6,0.21,
12/16/2022 00:00,1.06215,1.06634,1.05841,1.05859,-35.6,-0.34,
12/15/2022 00:00,1.06811,1.07365,1.05925,1.06262,-54.9,-0.52,
12/14/2022 00:00,1.06318,1.06949,1.06187,1.0681,49.2,0.46,
12/13/2022 00:00,1.05304,1.06734,1.0528,1.06323,101.9,0.96,
12/12/2022 00:00,1.05285,1.05802,1.05057,1.05384,9.9,0.09,
12/09/2022 00:00,1.05524,1.05884,1.0502,1.05329,-19.5,-0.19,
12/08/2022 00:00,1.05024,1.05652,1.04898,1.05549,52.5,0.50,
12/07/2022 00:00,1.04629,1.05496,1.0443,1.05056,42.7,0.41,
12/06/2022 00:00,1.04868,1.05332,1.04596,1.04675,-19.3,-0.18,
12/05/2022 00:00,1.05306,1.05947,1.048,1.04929,-37.7,-0.36,
12/02/2022 00:00,1.05205,1.05453,1.04286,1.05406,20.1,0.19,
12/01/2022 00:00,1.04032,1.05336,1.03931,1.05252,122.0,1.16,
11/30/2022 00:00,1.03247,1.04287,1.02902,1.04082,83.5,0.80,
11/29/2022 00:00,1.0337,1.03946,1.03203,1.03295,-7.5,-0.07,
11/28/2022 00:00,1.037,1.04971,1.03304,1.03398,-30.2,-0.29,
11/25/2022 00:00,1.04015,1.04292,1.03546,1.03887,-12.8,-0.12,
11/24/2022 00:00,1.03965,1.04483,1.03817,1.041,13.5,0.13,
11/23/2022 00:00,1.03016,1.04049,1.02966,1.03943,92.7,0.89,
11/22/2022 00:00,1.02411,1.03083,1.0239,1.03024,61.3,0.60,
11/21/2022 00:00,1.03218,1.03332,1.02226,1.02407,-81.1,-0.79,
11/18/2022 00:00,1.03592,1.03961,1.03135,1.03194,-39.8,-0.39,
11/17/2022 00:00,1.03931,1.04065,1.03051,1.03644,-28.7,-0.28,
11/16/2022 00:00,1.03475,1.04383,1.03306,1.03939,46.4,0.45,
11/15/2022 00:00,1.0326,1.04813,1.02801,1.03472,21.2,0.20,
11/14/2022 00:00,1.03379,1.03588,1.02717,1.03259,-12.0,-0.12,
11/11/2022 00:00,1.0207,1.03644,1.01633,1.03533,146.3,1.41,
11/10/2022 00:00,1.00079,1.0222,0.99357,1.02082,200.3,1.96,
11/09/2022 00:00,1.00739,1.00879,0.99926,1.00116,-62.3,-0.62,
11/08/2022 00:00,1.00164,1.00961,0.99717,1.00727,56.3,0.56,
11/07/2022 00:00,0.99051,1.00338,0.99051,1.00207,115.6,1.15,
11/04/2022 00:00,0.975,0.99668,0.97426,0.99596,209.6,2.10,
11/03/2022 00:00,0.98144,0.98392,0.97297,0.97495,-64.9,-0.67,
11/02/2022 00:00,0.9878,0.99761,0.98131,0.98145,-63.5,-0.65,
11/01/2022 00:00,0.98771,0.99543,0.98531,0.9874,-3.1,-0.03,
10/31/2022 00:00,0.99497,0.9966,0.98731,0.98826,-67.1,-0.68,
