EURUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
01/13/2023 00:00,1.08442,1.08681,1.07803,1.08321,-12.1,-0.11,
01/12/2023 00:00,1.07538,1.08667,1.07293,1.08506,96.8,0.89,
01/11/2023 00:00,1.07324,1.07765,1.07256,1.07564,24.0,0.22,
01/10/2023 00:00,1.07282,1.07595,1.07122,1.07342,6.0,0.06,
01/09/2023 00:00,1.06387,1.07607,1.06371,1.07327,94.0,0.88,
01/06/2023 00:00,1.05216,1.06482,1.04821,1.06453,123.7,1.16,
01/05/2023 00:00,1.06015,1.0631,1.05148,1.05215,-80.0,-0.76,
01/04/2023 00:00,1.05456,1.0635,1.05404,1.06034,57.8,0.55,
01/03/2023 00:00,1.06647,1.06835,1.05196,1.05488,-115.9,-1.10,
01/02/2023 00:00,1.06937,1.07069,1.06505,1.06594,-34.3,-0.32,
12/30/2022 00:00,1.06598,1.07129,1.06383,1.06996,39.8,0.37,
12/29/2022 00:00,1.06068,1.06902,1.06068,1.06616,54.8,0.51,
12/28/2022 00:00,1.06386,1.06746,1.06065,1.06124,-26.2,-0.25,
12/27/2022 00:00,1.06353,1.06695,1.06115,1.06388,3.5,0.03,
12/23/2022 00:00,1.05917,1.0633,1.05866,1.06205,28.8,0.27,
12/22/2022 00:00,1.06036,1.06597,1.05734,1.05983,-5.3,-0.05,
12/21/2022 00:00,1.0618,1.06453,1.059,1.06034,-14.6,-0.14,
12/20/2022 00:00,1.06034,1.06584,1.05787,1.0624,20.6,0.19,
12/19/2022 00:00,1.05841,1.06578,1.05759,1.06067,22.6,0.21,
12/16/2022 00:00,1.06211,1.0663,1.05837,1.05855,-35.6,-0.34,
12/15/2022 00:00,1.06806,1.0736,1.0592,1.06257,-54.9,-0.52,
12/14/2022 00:00,1.06322,1.06953,1.06191,1.06814,49.2,0.46,
12/13/2022 00:00,1.05305,1.06735,1.05281,1.06324,101.9,0.96,
12/12/2022 00:00,1.05288,1.05805,1.0506,1.05387,9.9,0.09,
12/09/2022 00:00,1.05523,1.05883,1.05019,1.05328,-19.5,-0.19,
12/08/2022 00:00,1.05022,1.0565,1.04896,1.05547,52.5,0.50,
12/07/2022 00:00,1.04628,1.05495,1.04429,1.05055,42.7,0.41,
12/06/2022 00:00,1.04864,1.05328,1.04592,1.04671,-19.3,-0.18,
12/05/2022 00:00,1.05309,1.0595,1.04803,1.04932,-37.7,-0.36,
12/02/2022 00:00,1.05204,1.05452,1.04285,1.05405,20.1,0.19,
12/01/2022 00:00,1.04033,1.05337,1.03932,1.05253,122.0,1.16,
11/30/2022 00:00,1.0325,1.0429,1.02905,1.04085,83.5,0.80,
11/29/2022 00:00,1.03369,1.03945,1.03202,1.03294,-7.5,-0.07,
11/28/2022 00:00,1.03699,1.0497,1.03303,1.03397,-30.2,-0.29,
11/25/2022 00:00,1.04013,1.0429,1.03544,1.03885,-12.8,-0.12,
11/24/2022 00:00,1.03968,1.04486,1.0382,1.04103,13.5,0.13,
11/23/2022 00:00,1.03018,1.04051,1.02968,1.03945,92.7,0.89,
11/22/2022 00:00,1.02407,1.03079,1.02386,1.0302,61.3,0.60,
11/21/2022 00:00,1.03216,1.0333,1.02224,1.02405,-81.1,-0.79,
11/18/2022 00:00,1.03593,1.03962,1.03136,1.03195,-39.8,-0.39,
11/17/2022 00:00,1.03932,1.04066,1.03052,1.03645,-28.7,-0.28,
11/16/2022 00:00,1.03478,1.04386,1.03309,1.03942,46.4,0.45,
11/15/2022 00:00,1.03257,1.0481,1.02798,1.03469,21.2,0.20,
11/14/2022 00:00,1.03374,1.03583,1.02712,1.03254,-12.0,-0.12,
11/11/2022 00:00,1.02067,1.03641,1.0163,1.0353,146.3,1.41,
11/10/2022 00:00,1.00075,1.02216,0.99353,1.02078,200.3,1.96,
11/09/2022 00:00,1.00739,1.00879,0.99926,1.00116,-62.3,-0.62,
